1549636877,026,002;
1549636878,026,001;
1549636878,027,001;
1549636879,025,001;
1549636880,026,001;
1549636880,027,001;
1549636881,027,002;
1549636881,027,002;
1549636882,026,002;
1549636883,027,002;
1549636883,026,002;
1549636884,026,001;
1549636884,026,001;
1549636885,026,003;
1549636886,025,001;
1549636886,025,002;
1549636887,026,001;
1549636887,026,002;
1549636888,025,001;
1549636889,026,002;
1549636889,025,001;
1549636890,026,001;
1549636890,026,002;
1549636891,027,002;
1549636892,026,001;
1549636892,025,018;
1549636893,026,002;
1549636893,026,002;
1549636894,025,001;
1549636895,026,001;
1549636895,024,005;
1549636896,025,001;
1549636896,026,002;
1549636897,026,001;
1549636898,025,003;
1549636898,025,001;
1549636899,025,000;
1549636899,025,000;
1549636900,025,003;
1549636901,026,002;
1549636901,025,002;
1549636902,025,001;
1549636902,025,030;
1549636903,026,001;
1549636904,025,003;
1549636904,026,002;
1549636905,025,001;
1549636906,025,002;
1549636906,024,001;
1549636907,025,014;
1549636907,025,001;
1549636908,026,001;
1549636909,026,001;
1549636909,027,002;
1549636910,025,035;
1549636910,024,003;
1549636911,025,002;
1549636912,026,001;
1549636912,025,003;
1549636913,024,002;
1549636913,025,001;
1549636914,026,007;
1549636915,025,001;
1549636915,026,001;
1549636916,027,001;
1549636916,025,001;
1549636917,025,001;
1549636918,025,003;
1549636918,025,001;
1549636919,026,001;
1549636919,025,001;
1549636920,027,002;
1549636921,026,002;
1549636921,025,001;
1549636922,026,001;
1549636922,026,005;
1549636923,026,001;
1549636924,027,001;
1549636924,025,009;
1549636925,025,007;
1549636925,024,002;
1549636926,025,001;
1549636927,025,006;
1549636927,025,003;
1549636928,026,001;
1549636928,027,002;
1549636929,024,002;
1549636930,026,001;
1549636930,026,001;
1549636931,025,002;
1549636931,026,002;
1549636932,025,005;
1549636933,025,002;
1549636933,024,006;
1549636934,025,001;
1549636935,024,004;
1549636935,026,001;
1549636936,026,002;
1549636936,024,001;
1549636937,027,000;
1549636938,026,001;
1549636938,024,001;
1549636939,025,002;
1549636939,025,001;
1549636940,026,002;
1549636941,024,002;
1549636941,025,001;
1549636942,026,007;
1549636942,024,001;
1549636943,026,036;
1549636944,025,002;
1549636944,025,001;
1549636945,025,001;
1549636945,024,001;
1549636946,024,004;
1549636947,024,002;
1549636947,025,002;
1549636948,025,001;
1549636948,026,002;
1549636949,025,001;
1549636950,025,001;
1549636950,026,001;
1549636951,026,001;
1549636951,025,003;
1549636952,024,003;
1549636953,024,002;
1549636953,026,006;
1549636954,025,001;
1549636954,025,003;
1549636955,024,001;
1549636956,025,003;
1549636956,026,001;
1549636957,026,002;
1549636957,026,001;
1549636958,026,002;
1549636959,024,002;
1549636959,026,001;
1549636960,025,002;
1549636960,026,039;
1549636961,025,001;
1549636962,025,002;
1549636962,025,001;
1549636963,026,011;
1549636964,026,001;
1549636964,024,001;
1549636965,024,001;
1549636965,025,007;
1549636966,026,002;
1549636967,024,001;
1549636967,025,005;
1549636968,024,002;
1549636968,026,002;
1549636969,025,001;
1549636970,026,004;
1549636970,024,085;
1549636971,026,001;
1549636971,024,003;
1549636972,026,002;
1549636973,026,004;
1549636973,025,001;
1549636974,025,001;
1549636974,025,002;
1549636975,024,001;
1549636976,024,003;
1549636976,024,002;
1549636977,024,001;
1549636977,024,001;
1549636978,025,066;
1549636979,026,002;
1549636979,024,001;
1549636980,024,001;
1549636980,025,002;
1549636981,024,002;
1549636982,025,002;
1549636982,026,001;
1549636983,024,001;
1549636983,026,001;
1549636984,026,002;
1549636985,024,002;
1549636985,025,001;
1549636986,025,009;
1549636986,025,001;
1549636987,024,001;
1549636988,025,002;
1549636988,024,001;
1549636989,025,001;
1549636989,026,002;
1549636990,024,001;
1549636991,026,002;
1549636991,026,002;
1549636992,026,001;
1549636993,026,002;
1549636993,025,001;
1549636994,025,002;
1549636994,025,001;
1549636995,025,002;
1549636996,026,000;
1549636996,025,015;
1549636997,026,004;
1549636997,025,001;
1549636998,025,005;
1549636999,025,001;
1549636999,025,002;
1549637000,026,002;
1549637000,025,001;
1549637001,025,002;
1549637002,025,002;
1549637002,025,001;
1549637003,026,001;
1549637003,026,002;
1549637004,024,001;
1549637005,025,001;
1549637005,024,001;
1549637006,025,023;
1549637006,024,001;
1549637007,024,004;
1549637008,025,002;
1549637008,025,067;
1549637009,026,002;
1549637009,025,001;
1549637010,026,001;
1549637011,024,002;
1549637011,025,007;
1549637012,024,001;
1549637012,026,009;
1549637013,025,001;
1549637014,025,002;
1549637014,024,001;
1549637015,025,001;
1549637015,024,003;
1549637016,025,001;
1549637017,026,001;
1549637017,026,002;
1549637018,025,002;
1549637018,025,001;
